country or territory,who_region,time,response,mean,standard_dev,95%HPDlow,95%HPDhigh,
Liberia,AFR,2019.917,strongly agree,83.36,10.89,61.93,97.85,
Liberia,AFR,2020.000,strongly agree,82.70,12.19,59.06,97.93,
Madagascar,AFR,2015.833,strongly agree,77.27,14.54,47.26,96.39,
Madagascar,AFR,2016.333,strongly agree,75.69,10.50,54.85,92.46,
Madagascar,AFR,2018.250,strongly agree,72.64,6.26,60.98,84.59,
Madagascar,AFR,2018.333,strongly agree,71.24,5.73,58.72,80.83,
Madagascar,AFR,2018.417,strongly agree,73.41,1.56,70.56,76.52,
Madagascar,AFR,2018.500,strongly agree,72.28,5.45,61.41,82.00,
Madagascar,AFR,2018.583,strongly agree,73.61,6.07,62.08,84.75,
Madagascar,AFR,2018.667,strongly agree,73.23,7.36,57.65,84.81,
Madagascar,AFR,2018.750,strongly agree,74.47,8.85,56.41,88.69,
Madagascar,AFR,2018.833,strongly agree,75.94,9.96,58.34,92.80,
Madagascar,AFR,2018.917,strongly agree,76.53,11.37,54.57,93.54,
Madagascar,AFR,2019.250,strongly agree,77.71,14.03,50.88,96.98,
Madagascar,AFR,2019.583,strongly agree,80.10,10.05,61.35,96.43,
Madagascar,AFR,2019.750,strongly agree,80.78,8.20,66.11,95.04,
Madagascar,AFR,2019.833,strongly agree,80.45,8.61,65.23,95.84,
Madagascar,AFR,2019.917,strongly agree,81.45,8.08,66.28,94.73,
Madagascar,AFR,2020.000,strongly agree,80.19,9.00,61.92,94.45,
Malawi,AFR,2015.833,strongly agree,71.12,16.95,41.18,96.08,
Malawi,AFR,2016.333,strongly agree,69.26,16.31,38.92,95.48,
Malawi,AFR,2018.250,strongly agree,86.27,5.37,75.60,94.96,
Malawi,AFR,2018.333,strongly agree,86.26,5.30,76.47,94.67,
Malawi,AFR,2018.417,strongly agree,88.29,3.35,81.78,94.65,
Malawi,AFR,2018.500,strongly agree,87.96,3.10,82.04,93.43,
Malawi,AFR,2018.583,strongly agree,88.74,1.06,86.84,90.92,
Malawi,AFR,2018.667,strongly agree,86.93,3.32,80.24,92.69,
Malawi,AFR,2018.750,strongly agree,86.26,4.31,78.34,94.22,
Malawi,AFR,2018.833,strongly agree,85.68,5.60,73.89,94.68,
Malawi,AFR,2018.917,strongly agree,83.91,6.71,71.54,95.99,
Malawi,AFR,2019.250,strongly agree,77.61,11.59,54.73,96.42,
Malawi,AFR,2019.583,strongly agree,73.35,13.75,45.60,95.07,
Malawi,AFR,2019.750,strongly agree,72.32,13.80,45.92,94.95,
Malawi,AFR,2019.833,strongly agree,71.86,14.50,42.45,95.02,
Malawi,AFR,2019.917,strongly agree,73.09,14.45,45.22,96.21,
Malawi,AFR,2020.000,strongly agree,72.91,13.78,46.61,96.31,
Mali,AFR,2015.833,strongly agree,72.29,12.22,45.71,90.47,
Mali,AFR,2016.333,strongly agree,76.33,0.96,74.52,78.22,
Mali,AFR,2018.250,strongly agree,60.57,7.89,45.53,75.36,
Mali,AFR,2018.333,strongly agree,58.90,1.73,55.61,62.09,
Mali,AFR,2018.417,strongly agree,60.60,6.84,46.98,72.84,
Mali,AFR,2018.500,strongly agree,59.25,8.10,43.74,74.24,
Mali,AFR,2018.583,strongly agree,59.62,9.90,42.90,79.45,
Mali,AFR,2018.667,strongly agree,57.18,13.74,33.58,79.90,
Mali,AFR,2018.750,strongly agree,56.93,16.02,26.97,82.36,
Mali,AFR,2018.833,strongly agree,56.44,17.76,25.26,85.40,
Mali,AFR,2018.917,strongly agree,55.51,19.91,19.10,84.11,
Mali,AFR,2019.250,strongly agree,54.53,23.33,12.38,86.93,
Mali,AFR,2019.583,strongly agree,59.87,24.08,13.05,90.24,
Mali,AFR,2019.750,strongly agree,63.65,22.42,17.70,91.68,
Mali,AFR,2019.833,strongly agree,65.10,21.72,17.68,91.42,
Mali,AFR,2019.917,strongly agree,67.37,20.43,22.30,92.38,
Mali,AFR,2020.000,strongly agree,67.36,20.14,23.83,94.32,
Mauritania,AFR,2015.833,strongly agree,81.21,8.78,63.85,95.27,
Mauritania,AFR,2016.333,strongly agree,83.60,1.23,81.26,86.09,
Mauritania,AFR,2018.250,strongly agree,66.74,14.03,40.73,90.11,
Mauritania,AFR,2018.333,strongly agree,65.12,14.67,36.14,88.68,
Mauritania,AFR,2018.417,strongly agree,66.69,11.95,44.41,87.41,
Mauritania,AFR,2018.500,strongly agree,64.95,9.60,48.44,84.15,
Mauritania,AFR,2018.583,strongly agree,65.06,8.52,50.67,81.15,
Mauritania,AFR,2018.667,strongly agree,63.04,6.85,49.52,75.58,
Mauritania,AFR,2018.750,strongly agree,63.40,1.66,60.32,66.43,
Mauritania,AFR,2018.833,strongly agree,64.01,6.81,51.87,77.64,
Mauritania,AFR,2018.917,strongly agree,64.04,7.54,48.30,78.74,
Mauritania,AFR,2019.250,strongly agree,67.84,11.46,47.33,88.00,
Mauritania,AFR,2019.583,strongly agree,70.28,13.15,44.92,92.71,
Mauritania,AFR,2019.750,strongly agree,70.50,13.17,44.41,92.13,
Mauritania,AFR,2019.833,strongly agree,70.31,13.96,43.35,93.03,
Mauritania,AFR,2019.917,strongly agree,71.23,13.24,47.05,92.57,
Mauritania,AFR,2020.000,strongly agree,70.58,13.43,44.74,92.77,
Mauritius,AFR,2015.833,strongly agree,43.42,19.77,7.62,78.86,
Mauritius,AFR,2016.333,strongly agree,45.35,22.85,10.33,83.59,
Mauritius,AFR,2018.250,strongly agree,43.51,8.06,29.28,59.60,
Mauritius,AFR,2018.333,strongly agree,45.09,1.56,41.82,47.97,
Mauritius,AFR,2018.417,strongly agree,50.72,8.08,35.43,65.57,
Mauritius,AFR,2018.500,strongly agree,52.30,10.07,33.98,70.63,
Mauritius,AFR,2018.583,strongly agree,55.14,12.18,31.17,76.91,
Mauritius,AFR,2018.667,strongly agree,54.99,13.55,28.91,79.28,
Mauritius,AFR,2018.750,strongly agree,55.67,15.11,28.46,84.66,
